Azienda in cui i politici hanno investito;Numero politici che hanno investito
mantellate 9 srl (grafia poco leggibile);1
sias;1
kodiak oil & gas corporation (kog us);1
citigroup inc (c us) usd;1
bank of america corp bac us $;1
br pneumatica spa;2
donca sas;1
fedora srl;1
romagna oggi srl;1
unicredit spa;3
finmeccanica ord;1
girson immobiliare sas (le parti coperte rendono poco leggibile la denominazione);1
visibilia srl;1
cassa rurale trento-val di non;1
mk pharma srl;1
telecom media;1
eni ord;3
buzzi unicem ord.;1
korus spa;1
servizi multimediali scarl;1
diritto fiat per recesso;1
banco popolare mta;1
cattolica assicurazioni;1
illegibile;2
iperdrola;1
the queens srl;1
lb srls;1
cisco system inc $ (csco us);1
parverd srl (grafia incerta);1
Sopiazes srl;1
eutelsat communications prom.eur-etl fp;1
s.a. eredi gnutti metalli spa;1
banca pop puglia e basilicata;1
enfigen energy ltd;1
(illeggibile) gi tech;1
(illeggibile);2
coca cola co.$;1
smilla srl;1
assicurazioni roseto snc  di ginoble t. & e di biase a.;1
seat pg ord;1
warrant seat pagine gialle;1
rivariglio sas (agricola);2
demostene srl ;1
saras raffinerie sarde ord - eur;1
azzurra immobiliare srl;1
basf se reg - eu xtr;1
eni ;2
apple inc $;1
united tech corp. (utx us) $;1
cassa rurale della valle isarco (grafia incerta);1
brembo spa;1
ubipram obl.glov p;2
sistemi locali srl;1
dipro medical services srl;2
pervit s.s.;1
banca credit. coop;1
famiglia cooperativa primanuania;1
amazon;2
credito valtellinese;4
nuova concordia srl;1
nuova toscana editrice srl;2
damiani;1
banca pop dell'emilia romagna;1
siemens ag reg (siegr);1
allianz se;1
assa abloy ab-b, stoccolma;1
motor quality srl;1
intesa san paolo rp;1
homniaholding spa;1
montaggi industriali romele srl;1
enel green power ord;1
pirelli ord;1
mediterranea progetti srl;1
banca carige spa;2
paravia partecipazioni srl;1
ubi banca spa;2
acritel srl;1
rm snc di rondini giancarlo & co;1
intesa san paolo ord;1
cassa rurale aldeno e cadine;1
ledem italia srl;1
studio dentistico giuseppe marinello & co sas;1
bolsas y mercados espanoles - eu;1
ge.pa. srl;1
le mas notre dame s.s.;2
diego & bernardo inc srl;1
euro service group spa;1
editoriale nord scrl;1
marina di varazze srl;1
panesalame snc;1
swiss re;1
ppr;2
idea cpa srl;1
coop;1
venetobanca;2
romagnaoggi.it;1
fusilli ciavattella due servizi assicurativi srl;1
sestant internazinale spa;1
b4i holding spa;1
generali ass. spa;1
philipp morris intlusd;1
dott gianluigi cimmino sas;1
immobiliare regis s.s.;1
nuova fourb srl;1
